,fp,county,state,never,rarely,sometimes,frequently,always,county.cases,county.deaths,pop
111,1001,Autauga,Alabama,0.053,0.074,0.134,0.295,0.444,2893,42,
120,1003,Baldwin,Alabama,0.083,0.059,0.098,0.323,0.436,9341,137,
132,1005,Barbour,Alabama,0.067,0.121,0.12,0.201,0.491,1214,29,
202,1007,Bibb,Alabama,0.02,0.034,0.096,0.278,0.572,1252,38,
222,1009,Blount,Alabama,0.053,0.114,0.18,0.194,0.459,3158,45,
309,1011,Bullock,Alabama,0.031,0.04,0.144,0.286,0.5,709,19,
321,1013,Butler,Alabama,0.102,0.053,0.257,0.137,0.451,1200,42,
346,1015,Calhoun,Alabama,0.152,0.108,0.13,0.167,0.442,6809,121,
442,1017,Chambers,Alabama,0.117,0.037,0.15,0.136,0.56,1875,51,
470,1019,Cherokee,Alabama,0.135,0.027,0.161,0.158,0.52,1067,24,
493,1021,Chilton,Alabama,0.06,0.07,0.058,0.194,0.618,2336,41,
499,1023,Choctaw,Alabama,0.049,0.038,0.126,0.219,0.568,435,19,
531,1025,Clarke,Alabama,0.049,0.088,0.164,0.268,0.43,1641,20,
537,1027,Clay,Alabama,0.148,0.158,0.195,0.169,0.329,948,25,
561,1029,Cleburne,Alabama,0.151,0.125,0.138,0.217,0.368,807,14,
586,1031,Coffee,Alabama,0.101,0.152,0.094,0.186,0.466,2577,17,
591,1033,Colbert,Alabama,0.082,0.096,0.152,0.159,0.51,3415,46,
621,1035,Conecuh,Alabama,0.099,0.052,0.259,0.192,0.399,729,14,
633,1037,Coosa,Alabama,0.055,0.131,0.167,0.263,0.384,382,4,
643,1039,Covington,Alabama,0.187,0.128,0.129,0.201,0.356,2324,34,
666,1041,Crenshaw,Alabama,0.06,0.091,0.199,0.233,0.416,733,30,
679,1043,Cullman,Alabama,0.13,0.024,0.249,0.217,0.379,4802,46,
705,1045,Dale,Alabama,0.089,0.113,0.118,0.22,0.46,2444,54,
707,1047,Dallas,Alabama,0.095,0.1,0.159,0.122,0.524,2349,32,
735,1049,De Kalb,Alabama,0.084,0.051,0.106,0.179,0.58,1341,39,
868,1051,Elmore,Alabama,0.042,0.095,0.127,0.252,0.485,728,4,
880,1053,Escambia,Alabama,0.114,0.026,0.188,0.285,0.387,6053,74,
889,1055,Etowah,Alabama,0.096,0.103,0.178,0.122,0.501,490,0,
909,1057,Fayette,Alabama,0.138,0.048,0.151,0.233,0.429,1559,28,
951,1059,Franklin,Alabama,0.065,0.071,0.223,0.156,0.484,959,8,
1027,1061,Geneva,Alabama,0.176,0.131,0.089,0.158,0.445,1158,12,
1106,1063,Greene,Alabama,0.03,0.053,0.127,0.167,0.623,571,9,
1147,1065,Hale,Alabama,0.026,0.061,0.084,0.191,0.639,17,0,
1243,1067,Henry,Alabama,0.066,0.068,0.17,0.258,0.438,8615,260,
1293,1069,Houston,Alabama,0.085,0.079,0.135,0.268,0.433,1630,15,
1358,1071,Jackson,Alabama,0.092,0.089,0.11,0.249,0.46,278,4,
1394,1073,Jefferson,Alabama,0.049,0.037,0.107,0.179,0.628,74,0,
1566,1075,Lamar,Alabama,0.107,0.045,0.132,0.189,0.527,2787,69,
1590,1077,Lauderdale,Alabama,0.093,0.119,0.141,0.179,0.469,318,4,
1597,1079,Lawrence,Alabama,0.162,0.08,0.088,0.251,0.419,1431,44,
1614,1081,Lee,Alabama,0.053,0.064,0.138,0.183,0.562,5754,114,
1652,1083,Limestone,Alabama,0.102,0.034,0.133,0.336,0.395,6586,77,
1715,1085,Lowndes,Alabama,0.12,0.073,0.145,0.199,0.464,1,0,
1737,1087,Macon,Alabama,0.008,0.033,0.241,0.172,0.545,40060,1318,
1745,1089,Madison,Alabama,0.062,0.05,0.123,0.177,0.589,6482,90,
1777,1091,Marengo,Alabama,0.033,0.151,0.118,0.186,0.512,10876,149,
1782,1093,Marion,Alabama,0.129,0.064,0.246,0.207,0.353,3281,29,
1803,1095,Marshall,Alabama,0.075,0.064,0.129,0.253,0.479,1172,15,
1938,1097,Mobile,Alabama,0.077,0.07,0.102,0.244,0.506,362,7,
1947,1099,Monroe,Alabama,0.112,0.041,0.182,0.288,0.378,3459,7,
1968,1101,Montgomery,Alabama,0.056,0.095,0.123,0.212,0.513,791,8,
1995,1103,Morgan,Alabama,0.078,0.077,0.082,0.304,0.459,1491,35,
2219,1105,Perry,Alabama,0.025,0.084,0.087,0.187,0.618,210,2,
2243,1107,Pickens,Alabama,0.031,0.06,0.169,0.157,0.584,829,5,
2252,1109,Pike,Alabama,0.06,0.131,0.145,0.333,0.33,19127,328,
2369,1111,Randolph,Alabama,0.158,0.226,0.105,0.144,0.368,1213,9,
2464,1113,Russell,Alabama,0.069,0.067,0.08,0.213,0.57,1245,35,
2576,1117,Shelby,Alabama,0.022,0.075,0.118,0.24,0.545,9685,64,
2640,1115,St Clair,Alabama,0.027,0.134,0.144,0.2,0.495,22851,228,
2720,1119,Sumter,Alabama,0.055,0.068,0.118,0.197,0.562,10566,142,
2743,1121,Talladega,Alabama,0.113,0.15,0.208,0.169,0.361,41,0,
2745,1123,Tallapoosa,Alabama,0.067,0.095,0.136,0.296,0.406,1007,27,
2828,1125,Tuscaloosa,Alabama,0.041,0.036,0.144,0.247,0.532,814,45,
2903,1127,Walker,Alabama,0.09,0.081,0.145,0.256,0.429,239,16,
2940,1129,Washington,Alabama,0.018,0.077,0.102,0.307,0.495,788,6,
3043,1131,Wilcox,Alabama,0.061,0.098,0.199,0.187,0.455,655,18,
3074,1133,Winston,Alabama,0.13,0.046,0.328,0.183,0.312,1447,25,
33,2013,Aleutians East,Alaska,0.067,0.032,0.034,0.316,0.551,41,0,
34,2016,Aleutians West,Alaska,0.078,0.031,0.03,0.337,0.524,111,0,
59,2020,Anchorage,Alaska,0.042,0.05,0.049,0.196,0.663,17515,73,
200,2050,Bethel,Alaska,0.101,0.022,0.014,0.45,0.413,1626,7,
274,2060,Bristol Bay,Alaska,0.048,0.037,0.042,0.308,0.564,76,0,
764,2068,Denali,Alaska,0.062,0.081,0.067,0.225,0.565,25094,227,
