fp,county,state,never,rarely,sometimes,frequently,always
44005,Abbeville,SC,0.004,0.006,0.046,0.129,0.815
21233,Acadia,LA,0.088,0.084,0.167,0.21,0.451
50023,Accomack,VA,0.051,0.19,0.104,0.05,0.604
15003,Ada,ID,0.011,0.012,0.027,0.151,0.798
18177,Adair,IA,0.162,0.09,0.138,0.261,0.348
20203,Adair,KY,0.173,0.112,0.184,0.219,0.313
28157,Adair,MO,0.146,0.143,0.075,0.155,0.481
39171,Adair,OK,0.035,0.133,0.199,0.208,0.425
6113,Adams,CO,0.007,0.005,0.04,0.156,0.791
18179,Adams,IA,0.205,0.05,0.077,0.337,0.332
15005,Adams,ID,0.026,0.013,0.032,0.08,0.85
16081,Adams,IL,0.099,0.189,0.19,0.25,0.272
17197,Adams,IN,0.041,0.024,0.062,0.134,0.739
27167,Adams,MS,0.166,0.148,0.239,0.096,0.352
37195,Adams,ND,0.013,0.067,0.081,0.248,0.59
30107,Adams,NE,0.214,0.135,0.144,0.189,0.318
38101,Adams,OH,0.195,0.138,0.127,0.263,0.276
41067,Adams,PA,0.006,0.009,0.059,0.169,0.756
53001,Adams,WA,0.077,0.051,0.072,0.076,0.724
55001,Adams,WI,0.163,0.189,0.227,0.213,0.208
49053,Addison,VT,0.034,0.056,0.123,0.269,0.518
44007,Aiken,SC,0.022,0.014,0.05,0.159,0.754
26159,Aitkin,MN,0.025,0.068,0.137,0.183,0.587
10003,Alachua,FL,0.027,0.013,0.041,0.133,0.786
36119,Alamance,NC,0.025,0.018,0.044,0.115,0.798
5147,Alameda,CA,0.059,0.048,0.208,0.231,0.454
6115,Alamosa,CO,0.057,0.035,0.071,0.167,0.669
35057,Albany,NY,0.097,0.005,0.035,0.167,0.696
56001,Albany,WY,0.136,0.1,0.151,0.181,0.432
50025,Albemarle,VA,0.075,0.031,0.035,0.151,0.708
25021,Alcona,MI,0.02,0.015,0.035,0.125,0.805
27169,Alcorn,MS,0.029,0.151,0.057,0.328,0.435
2013,Aleutians East,AK,0.067,0.032,0.034,0.316,0.551
2016,Aleutians West,AK,0.078,0.031,0.03,0.337,0.524
16083,Alexander,IL,0.166,0.222,0.101,0.177,0.335
36121,Alexander,NC,0.001,0.024,0.008,0.107,0.861
51195,Alexandria City,VA,0.025,0.075,0.099,0.158,0.643
39173,Alfalfa,OK,0.029,0.061,0.086,0.252,0.572
25023,Alger,MI,0.014,0.017,0.045,0.112,0.812
18181,Allamakee,IA,0.056,0.177,0.194,0.189,0.384
25025,Allegan,MI,0.02,0.007,0.049,0.136,0.788
23025,Allegany,MD,0.035,0.095,0.142,0.17,0.558
35059,Allegany,NY,0.12,0.118,0.127,0.242,0.393
36123,Alleghany,NC,0,0.006,0.023,0.087,0.884
50027,Alleghany,VA,0.061,0.055,0.03,0.227,0.627
41069,Allegheny,PA,0.023,0.07,0.049,0.232,0.626
17199,Allen,IN,0.095,0.122,0.136,0.183,0.464
19191,Allen,KS,0.122,0.044,0.151,0.177,0.505
20205,Allen,KY,0.125,0.148,0.145,0.184,0.398
21235,Allen,LA,0.176,0.062,0.113,0.174,0.476
38103,Allen,OH,0.254,0.163,0.083,0.275,0.226
44009,Allendale,SC,0.012,0.022,0.034,0.126,0.807
25027,Alpena,MI,0.02,0.027,0.043,0.142,0.768
5149,Alpine,CA,0.116,0.1,0.112,0.198,0.474
6001,Amador,CA,0.019,0.008,0.055,0.123,0.795
51001,Amelia,VA,0.001,0.019,0.055,0.1,0.824
51003,Amherst,VA,0.023,0.022,0.054,0.093,0.81
27171,Amite,MS,0.083,0.109,0.162,0.259,0.387
2020,Anchorage,AK,0.042,0.05,0.049,0.196,0.663
19193,Anderson,KS,0.113,0.165,0.137,0.16,0.425
20207,Anderson,KY,0.092,0.175,0.171,0.247,0.314
45001,Anderson,SC,0.117,0.102,0.243,0.166,0.371
46129,Anderson,TN,0.14,0.144,0.132,0.265,0.318
47185,Anderson,TX,0.185,0.205,0.162,0.115,0.333
28159,Andrew,MO,0.029,0.038,0.057,0.199,0.676
47187,Andrews,TX,0.019,0.073,0.091,0.212,0.604
22121,Androscoggin,ME,0.044,0.04,0.07,0.197,0.649
47189,Angelina,TX,0.105,0.035,0.099,0.192,0.568
23027,Anne Arundel,MD,0.023,0.06,0.15,0.182,0.585
26161,Anoka,MN,0.019,0.022,0.046,0.18,0.733
37001,Anson,NC,0.04,0.073,0.126,0.175,0.586
30109,Antelope,NE,0.165,0.219,0.161,0.267,0.187
26001,Antrim,MI,0.065,0.046,0.133,0.18,0.576
2282,Apache,AZ,0.047,0.012,0.078,0.381,0.481
18183,Appanoose,IA,0.061,0.186,0.132,0.16,0.46
12129,Appling,GA,0.032,0.092,0.172,0.275,0.429
51005,Appomattox,VA,0.145,0.034,0.123,0.174,0.525
48001,Aransas,TX,0.172,0.104,0.095,0.088,0.541
8001,Arapahoe,CO,0.032,0.027,0.071,0.185,0.685
48003,Archer,TX,0.09,0.044,0.067,0.202,0.597
8003,Archuleta,CO,0.052,0.133,0.094,0.228,0.493
26003,Arenac,MI,0.025,0.034,0.118,0.229,0.595
4025,Arkansas,AR,0.031,0.073,0.081,0.176,0.639
51007,Arlington,VA,0.013,0.069,0.116,0.13,0.672
41071,Armstrong,PA,0.021,0.035,0.072,0.143,0.729
48005,Armstrong,TX,0.121,0.064,0.079,0.2,0.536
22123,Aroostook,ME,0.022,0.063,0.124,0.114,0.677
30111,Arthur,NE,0.129,0.177,0.167,0.262,0.265
21237,Ascension,LA,0.14,0.095,0.114,0.203,0.448
37003,Ashe,NC,0.027,0.023,0.103,0.272,0.575
